id,question,answer_A,answer_B,answer_C,answer_D,answer_E
0,"In the case of a febrile roséoliform exanthem in a child, the main etiologies are (one or more correct answers):","A roseola infantum,","A fifth disease,","A rubella,","An infectious mononucleosis,",A Kawasaki syndrome
0,"About heart failure, which statement(s) is/are true?",Cardiac auscultation can reveal an accentuated second heart sound (S2) at the aortic area in cases of pulmonary arterial hypertension,Cardiac auscultation can reveal a mitral regurgitation murmur related to the dilation of the mitral annulus,Jugular venous distension is a peripheral sign of left heart failure,"Peripheral edemas are soft, blue, and painful",Crackles or fine crackles are often bilateral
0,Which is (are) the true statement(s) regarding the management of diffuse bronchiectasis in adults (outside of a cystic fibrosis context) causing repeated infectious episodes?,"Daily bronchial drainage,","Systemic corticosteroid therapy,","Pulmonary lobectomy,","Systematic quarterly antibiotic therapy,",Anti-inflammatory treatment with fluoroquinolone
0,A 58-year-old patient comes to the emergency department of your hospital for the expectoration of two glasses of bright red blood during a coughing fit. She had never spat blood before. She is on aspirin for antiplatelet therapy for coronary artery disease. Her clinical examination is normal; her blood pressure is 132/79 mmHg. The heart rate is 80/min. The chest radiograph shows no abnormality. Provide the correct answer(s),You hospitalize the patient,You initiate fluid resuscitation,You prescribe an intravenous vasoconstrictor such as terlipressin,You prescribe an injected thoracic CT scan with arterial phase acquisition after verifying the absence of contraindications,You reassure the patient and explain to her that it is normal to bleed while on antiplatelet therapy
0,"A 55-year-old patient with hyperlymphocytosis at 25 g/L without cytopenia is referred to you with a diagnosis of chronic lymphocytic leukemia based on lymphocyte immunophenotyping. On clinical examination, the patient is in excellent general condition and has polyadenopathy of 1.5 to 2 cm in diameter in all lymph node areas. Which examination is necessary at this stage? (one answer)",None,A PET-CT scan,An echocardiogram,A bone marrow biopsy,A bone scan
0,"A 25-year-old man consults you for abdominal pain. The examination is normal except for a palpable spleen at the end of inspiration. The blood count shows: leukocytes 14 g/L, neutrophils 8 g/L, myelocytes 1 g/L, metamyelocytes 1 g/L, monocytes 1 g/L, lymphocytes 3 g/L, platelets 510 g/L. You suspect chronic myeloid leukemia. Which biological tests do you prescribe to confirm your diagnostic hypothesis? (one or more answers possible)","Leukocyte immunophenotyping on blood,","Search for Jolly bodies on smear,","Search for the bcr-abl transcript,","Search for Gumprecht shadows,",Search for a jak2 mutation
0,"Parmi les affirmations suivantes concernant les ostéopathies fragilisantes, laquelle (lesquelles) est (sont) exacte(s) ?","L’hyperparathyroïdie primitive touche préférentiellement l’os cortical,","Le traitement de l’hypothyroïdie augmente le risque de fracture ostéoporotique,","L’ostéoporose cortisonique touche principalement l’os cortical,","La carence estrogénique est responsable d’une hyperactivité ostéoclastique,",Le traitement par biphosphonate augmente l’activité des ostéoblastes
0,"A 50-year-old woman presents to the emergency department with malaise. She has no significant medical history but describes a rapidly developing fatigue. The clinical examination is normal except for a subicteric conjunctiva. The blood count shows hemoglobin 90 g/L, red blood cells 2.7 T/L, hematocrit 27%, MCV 102 fL, MCHC 33 g/dL, leukocytes 8 G/L, neutrophils 5 G/L, lymphocytes 2.3 G/L, monocytes 0.7 G/L. Which biological tests seem relevant to prescribe initially? (one or more answers possible)","C-reactive protein (CRP),","Serum iron,","Serum protein electrophoresis,","Reticulocytes,",LDH
0,Which of the following infectious agents is(are) responsible for culture-negative endocarditis?,Mycobacterium tuberculosis,Bartonella,Streptococcus pyogenes,Coxiella burnetii,Tropheryma whipplei
0,"Among the following infectious diseases, which one(s) is(are) mandatory to report in France?","Rubella,","Plague,","Tuberculosis,","Legionellosis,",Invasive pneumococcal disease
0,"In a patient treated for 2 days for a proximal pulmonary embolism with unfractionated heparin, the aPTT ratio is 6 and the anti-Xa activity is measured at the peak activity at 1.2 IU/mL, in the absence of bleeding, which measure(s) do you immediately adopt? (one or more answers possible)",Vitamin K administration,Platelet concentrate infusion,Protamine infusion,Stop and adjust dosage,Introduction of VKA
0,"A 62-year-old man with no medical history presents with a spontaneous deep hematoma of the psoas muscle. The CBC shows hemoglobin at 90 g/L and platelets at 170 g/L. His hemostasis workup is as follows: APTT ratio at 2.1, PT at 78%, and fibrinogen at 3.1 g/L. Mixing the patient's plasma with normal plasma does not correct the APTT (Rosner index at 28, normal < 15). The assay of endogenous pathway factors reveals factor VIII at 4%. Which diagnostic hypothesis(es) do you consider? (One or more answers possible)","The presence of a lupus anticoagulant,","A constitutional hemophilia,","The presence of an anti-factor VIII antibody,","Type 1 von Willebrand disease,",Acquired hemophilia B
0,"A patient is brought unconscious by firefighters to the emergency department following a road traffic accident. She presents with polytrauma for which an emergency brain and thoraco-abdomino-pelvic CT scan are performed. She has a splenic fracture that requires surgical intervention. Upon arrival, her husband informs you that she is approximately 8 weeks pregnant. The dose of radiation received is 10 mGy. What are the risks associated with the accident and the management?",Developmental delay,Cerebral malformation,Miscarriage,Growth retardation,Retroplacental hematoma
0,"A patient presents to your office for a preconception consultation. She is 32 years old, nulligravida. She has been followed for one year for well-controlled hypertension on perindopril, one tablet per day. She is on estrogen-progestin contraception, which she plans to stop at the end of her pack. She weighs 81 kg and is 1m68 tall. She smokes 5 cigarettes per day but would like to quit. What do you plan to do at the end of the consultation? (one or more correct answers)",Rubella serology,Smoking cessation aid with nicotine substitutes,Cervical smear if the last one was more than a year ago,Prescription of folates at a dose of 5 mg/day,Discontinuation of perindopril and switch to another antihypertensive
0,"A 28-year-old woman presents with a palpable mass in the upper outer quadrant of the right breast. She is concerned because her mother and maternal aunt were diagnosed with breast cancer at 55 and 60 years old, respectively. On clinical examination, you palpate a round, smooth 15 mm mass that is not adherent to the deep or superficial planes. There is no inflammation or skin retraction overlying the mass. No suspicious lymphadenopathy is palpated in the axillary or supraclavicular regions. Which examination(s) should be ordered first?","Breast ultrasound,","Chest X-ray,","CA 15-3 level,","Breast MRI,",Mammogram
0,"A 38-year-old woman consults 3 months after her third delivery for contraception. She had a cesarean section, while her first two deliveries were vaginal. She has just stopped breastfeeding her child because she needs to resume her professional activity. In her history, she reports a uterine perforation during the insertion of an intrauterine device 7 years ago, a phlebitis under a cast 10 years ago, and laser treatment of the cervix 4 years ago for cervical dysplasia related to a human papillomavirus infection. She does not smoke but occasionally ""vapes."" The last cervical smear, performed at the beginning of the pregnancy, was normal. Which contraceptive method(s) is(are) feasible for this woman?","Levonorgestrel intrauterine device,","Copper intrauterine device,","Transdermal device releasing norelgestromin and ethinylestradiol,","Tubal sterilization by laparoscopy,",Subcutaneous device releasing etonogestrel
0,"When suspecting an intraocular metallic foreign body, which examination(s) do you propose in an emergency?",A CT scan of the orbit,An MRI,An X-ray of the orbit,A fluorescein angiography,A measurement of intraocular pressure
0,Which of the following statements about voluntary termination of pregnancy (abortion) in France is/are correct?,A woman under guardianship can request an abortion,A woman can request complete anonymity for the performance of an abortion,The insertion of an IUD is contraindicated immediately following a surgical abortion,Prostaglandins cannot be used in cases of hereditary porphyria,A psychosocial interview must systematically be conducted before the performance of the abortion
0,A chalazion:,"Is an infection of a pilosebaceous follicle of the eyelids,","Is a resorption granuloma of a meibomian gland of the eyelids,","Is treated with corticosteroid ointment,","Is treated with systemic antibiotics,",May require surgical incision
0,What are the possible etiologies of a decrease in visual acuity associated with eye redness (multiple correct answers)?,"Acute angle-closure glaucoma attack,","Anterior uveitis,","Central retinal artery occlusion,","Neovascular glaucoma,",Retinal vasculitis
0,En cas de myopie (une ou plusieurs réponses exactes) :,"The optical system formed by the eye is too convergent,","Vision from afar is better than near vision without correction,","Light rays focus in front of the retina,","A divergent lens can be used for correction,",The risk of retinal detachment may be increased
0,"You are managing an 83-year-old patient, well-supported, on day 2 post-knee arthroplasty. The Redon drains have been removed without issue. She presents with a swollen knee, very edematous and inflammatory. The scar is clean, non-inflammatory. Which statement(s) is/are correct?","Outpatient management is possible,","Electrotherapy techniques performed by the physiotherapist will aim to reduce the edema,","Prescription of a walking cane could be made by the community physiotherapist after hospital discharge,","Your physiotherapy prescription must specify the physiotherapy techniques to be used,",Home adaptation must be done after submitting a file to the mdph (maison départementale des personnes handicapées)
0,"You are managing a 32-year-old computer scientist patient with a smoking history of 15 packs/year, no medical or surgical history, who was involved in a car accident resulting in a severe spinal cord injury due to a C5 cervical fracture, surgically repaired via an anterior approach on April 30, 2018. Weaning from mechanical ventilation was difficult, and he was tracheostomized on May 21, 2018, after orotracheal intubation. Weaning was subsequently achieved on May 29. Upon arrival, he is eupneic. He presents with a stage 4 pressure ulcer on the right trochanter with bone exposure. The ulcer bed is fibrinous, and purulent secretions are very abundant without inflammatory skin signs. Which statement(s) is/are correct?","Tracheal stenosis is a complication of prolonged orotracheal intubation,","You prioritize the treatment of this pressure ulcer with a combination of local antiseptics and dry dressings,","The presence of this pressure ulcer contraindicates sitting in a wheelchair,","Given the level of the spinal cord injury at C6, you expect anesthesia from the lateral border of the forearm in the anatomical position,",The request for long-term disability can be made by the primary care physician
0,You prescribe a standard articulated knee brace to one of your patients with a knee sprain. Check the correct prescription principle(s) for this type of medical device:,"It is prescribed on a simple prescription,","It is prescribed on a major medical equipment form,","It is reimbursed at 100% of its purchase price,","It can be prescribed by all specialists,",It can be prescribed by a physiotherapist
0,"Concerning carpal tunnel syndrome, which of the following statement(s) is/are true?","It is most often idiopathic,","It is more frequent during pregnancy,","Electromyogram is essential for diagnosis,","It can lead to a deficit of the long flexor of the thumb,",It can lead to an abolition of the stylo-radial reflex
0,"Concerning knee osteoarthritis, which statement(s) is/are true?","Joint aspiration is essential for diagnosis,","Genu varum predisposes to medial femorotibial gonarthrosis,","Viscosupplementation injections are indicated during flare-ups with effusion,","The indication for surgery depends on the severity of joint space narrowing,",The effectiveness of corticosteroid injections is limited in time
0,"A 78-year-old former mechanic presents with significant febrile inflammatory low back pain that has been present for 10 days. You suspect spondylodiscitis and decide to prescribe a lumbar MRI. This patient has a total hip prosthesis placed 8 years ago and a valvular prosthesis for 2 years. He underwent coronary stent placement 3 months ago. He has a glomerular filtration rate of 48 ml/min. During the interview, he informs you that he received metal fragments in the right eye and right cheek 40 years ago. Which of the following contraindicates an injected MRI?","The metal fragments in the eye,","The hip prosthesis,","The valvular prosthesis,","The coronary stent,",The renal function
0,"En cas de paralysie du nerf oculo-moteur (iii), vous pouvez rencontrer à l’examen ?, A deficit in elevation of the eye, Miosis, A deficit in adduction of the eye, Exophthalmos, Ptosis",,,,,
0,"A 62-year-old patient has a history of essential hypertension treated with monotherapy for 2 years and active smoking (45 pack-years). For about two weeks, he has been complaining of daily headaches that tend to occur in the second half of the night. Initially, they gradually subsided during the morning. For about 3 days, they have been constant. These headaches are described as diffuse, helmet-like, fluctuating in intensity, and exacerbated by physical activity. He also complains of loss of appetite and nausea, which have also been progressing. The patient is afebrile. What syndrome do you suspect based on this presentation?",Status migrainosus,Chronic daily headaches,Infectious meningeal syndrome,Intracranial hypertension,Meningeal syndrome related to subarachnoid hemorrhage
0,"A 59-year-old patient has developed a tremor in the last three fingers of the right hand, which has also been noticed by others while walking. The patient swings the right upper limb less while walking. Upon examination, you notice that the tremor disappears when the arms are extended. You perceive that passive mobilization of the right elbow is more difficult and that mobilization of the right shoulder is painful. The deep tendon reflexes are normal. This type of tremor is probably aggravated by:",Emotion,Mental calculation,Writing,Movement,Sleep
0,"Among the following propositions, which one(s) apply to a central neurogenic bladder?",,- Hypoactive detrusor,- Incontinence,- Risk of vesicoureteral reflux,- Low intravesical pressures
0,"Parmi les aliments suivants, le(s)quel(s) contiennent plus de 5% de glucides ?, Lentilles, Haricots verts, Viande, Fromage, Fruits",,,,,
